TRRT_1;TRRT_2;TRRT_3;TRRT_4;TRRT_5
AMAZONAS - RORAIMA;Amazonas - Roraima;AMAZONAS - RORAIMA;AMAZONAS - RORAIMA;AMAZONAS - RORAIMA
BAHIA INTERIOR;BA INTERIOR;BA INTERIOR;BA INTERIOR;BA INTERIOR
BAHIA METRO;BA METRO;BA METRO;BA METRO;BA METRO
BAIXADA ABC;Baixada ABC;BAIXADA ABC;BAIXADA ABC;BAIXADA ABC
CAMPINAS;Campinas;CAMPINAS;CAMPINAS;CAMPINAS
CENTRO NORTE;Centro Norte;CENTRO NORTE;CENTRO NORTE;CENTRO NORTE
CEARA - PIAUI;CEPI;CEPI;CEPI;CEPI
DISTRITO FEDERAL;Distrito Federal;DISTRITO FEDERAL;DISTRITO FEDERAL;DISTRITO FEDERAL
ESPIRITO SANTO;Espírito Santo;ESPÍRITO SANTO;ESPÍRITO SANTO;ESPÍRITO SANTO
GOIAS;Goiás;GOIÁS;GOIÁS;GOIÁS
GSP;GSP;GSP;GSP;GSP
JUIZ DE FORA E VALE DO AÇO;Juiz de Fora e Vale do Aço;JUIZ DE FORA E VALE DO AÇO;JUIZ DE FORA E VALE DO AÇO;JUIZ DE FORA E VALE DO AÇO
MARANHAO;Maranhão;MARANHÃO;MARANHÃO;MARANHÃO
MATO GROSSO;Mato Grosso;MATO GROSSO;MATO GROSSO;MATO GROSSO
MATO GROSSO DO SUL;Mato Grosso do Sul;MATO GROSSO DO SUL;MATO GROSSO DO SUL;MATO GROSSO DO SUL
OESTE PAULISTA;Oeste Paulista;OESTE PAULISTA;OESTE PAULISTA;OESTE PAULISTA
PARA 1;Pará 1;PARÁ 1;PARÁ 1;PARÁ 1
PARA 2 - AMAPA;Pará 2 - Amapá;PARÁ 2 - AMAPÁ;PARÁ 2 - AMAPÁ;PARÁ 2 - AMAPÁ
PARANA;Paraná;PARANÁ;PARANÁ;PARANÁ
PERNAMB. - PARAIBA - RIO G DO N;PEPBRN;PEPBRN;PEPBRN;PEPBRN
PORTO ALEGRE E PELOTAS;Porto Alegre e Pelotas;PORTO ALEGRE E PELOTAS;PORTO ALEGRE E PELOTAS;PORTO ALEGRE E PELOTAS
RIBEIRAO PRETO;Ribeirão Preto;RIBEIRÃO PRETO;RIBEIRÃO PRETO;RIBEIRÃO PRETO
RJ CAPITAL;RJ Capital;RJ CAPITAL;RJ CAPITAL;RJ CAPITAL
RJ INTERIOR;RJ Interior;RJ INTERIOR;RJ INTERIOR;RJ INTERIOR
RMBH;RMBH;RMBH;RMBH;RMBH
SANTA CATARINA;Santa Catarina;SANTA CATARINA;SANTA CATARINA;SANTA CATARINA
SANTA MARIA E CAXIAS;Santa Maria e Caxias;SANTA MARIA E CAXIAS;SANTA MARIA E CAXIAS;SANTA MARIA E CAXIAS
ALAGOAS - SERGIPE;SEAL;SEAL;SEAL;SEAL
SP1;SP1;SP1;SP1;SP1
SP2;SP2;SP2;SP2;SP2
SUL DE MINAS;Sul de Minas;SUL DE MINAS;SUL DE MINAS;SUL DE MINAS
TRIANGULO E NORTE DE MINAS;Triângulo e Norte de Minas;TRIÂNGULO E NORTE DE MINAS;TRIÂNGULO E NORTE DE MINAS;TRIÂNGULO E NORTE DE MINAS
ALAGOAS - SERGIPE;SEAL;ALAGOAS - SERGIPE;ALAGOAS - SERGIPE;ALAGOAS - SERGIPE
BAHIA INTERIOR;BA INTERIOR;BAHIA INTERIOR;BAHIA INTERIOR;BAHIA INTERIOR
BAHIA METRO;BA METRO;BAHIA METRO;BAHIA METRO;BAHIA METRO
CEPI;CEPI;CEARA - PIAUÍ;CEARA - PIAUÍ;CEARA - PIAUÍ
PERNAMB. - PARAIBA - RIO G DO N;PEPBRN;PERNAMB. - PARAÍBA - RIO G DO N;PERNAMB. - PARAÍBA - RIO G DO N;PERNAMB. - PARAÍBA - RIO G DO N
OUTROS;OUTROS;NACIONAL;NACIONAL;NACIONAL
