DS_NTZA_PRDT;DS_SGMT_PRDT;PESO
CES;CONVERSAO;0,02000
CES;ELETRONICOS;0,05000
CES;SMARTPHONES;0,06000
FIXA;FIXA B2B;0,04000
FIXA;FIXA;0,16000
FIXA;TOTALIZACAO;0,10000
MOVEL;B2B MOVEL;0,02000
MOVEL;CONTROLE;0,10000
MOVEL;POS PURO;0,10000
MOVEL;ALTA M0;0,08000
QUALIDADE;CONTESTACAO;0,02000
QUALIDADE;RENTABILIDADE;0,04000
QUALIDADE;TFP CONTROLE;0,04000
QUALIDADE;TFP FIXA;0,08000
QUALIDADE;TFP PURO;0,03000
SERVICOS DIGITAIS;NOVOS NEGOCIOS;0,01000
SERVICOS DIGITAIS;SEGUROS;0,02000
SERVICOS DIGITAIS;SVAS;0,03000
TOTAL;TOTAL;1,00000
